service_id,date,exception_type
20250214daily,20250214,1
20250215daily,20250215,1
20250216daily,20250216,1
20250217daily,20250217,1
20250218daily,20250218,1
20250219daily,20250219,1
20250220daily,20250220,1
20250221daily,20250221,1
20250222daily,20250222,1
20250223daily,20250223,1
20250224daily,20250224,1
20250225daily,20250225,1
20250226daily,20250226,1
20250227daily,20250227,1
20250228daily,20250228,1
20250301daily,20250301,1
20250610multint,20250302,1
20250010multint,20250303,1
20250010multint,20250304,1
20250010multint,20250305,1
20250010multint,20250306,1
20250010multint,20250307,1
20250510multint,20250308,1
20250610multint,20250309,1
20250010multint,20250310,1
20250010multint,20250311,1
20250010multint,20250312,1
20250010multint,20250313,1
20250010multint,20250314,1
20250510multint,20250315,1
20250610multint,20250316,1
20250010multint,20250317,1
20250010multint,20250318,1
20250010multint,20250319,1
20250010multint,20250320,1
20250010multint,20250321,1
20251510multint,20250322,1
20251610multint,20250323,1
20251010multint,20250324,1
20251010multint,20250325,1
20251010multint,20250326,1
20251010multint,20250327,1
20251010multint,20250328,1
20251510multint,20250329,1
20251610multint,20250330,1
20251010multint,20250331,1
20251010multint,20250401,1
20251010multint,20250402,1
20251010multint,20250403,1
20251010multint,20250404,1
20251510multint,20250405,1
20251610multint,20250406,1
20251010multint,20250407,1
20251010multint,20250408,1
20251010multint,20250409,1
20251010multint,20250410,1
20251010multint,20250411,1
20251510multint,20250412,1
20251610multint,20250413,1
20251010multint,20250414,1
20251010multint,20250415,1
20251010multint,20250416,1
20251010multint,20250417,1
20251510multint,20250418,1
20251510multint,20250419,1
20251610multint,20250420,1
20251610multint,20250421,1
20251010multint,20250422,1
20251010multint,20250423,1
20251010multint,20250424,1
20251010multint,20250425,1
20251510multint,20250426,1
20251610multint,20250427,1
20251010multint,20250428,1
20251010multint,20250429,1
20251010multint,20250430,1
20251010multint,20250501,1
20251010multint,20250502,1
20251510multint,20250503,1
20251610multint,20250504,1
20251010multint,20250505,1
20251010multint,20250506,1
20251010multint,20250507,1
20251010multint,20250508,1
20251010multint,20250509,1
20251510multint,20250510,1
20251610multint,20250511,1
20251010multint,20250512,1
20251010multint,20250513,1
20251010multint,20250514,1
20251010multint,20250515,1
20251010multint,20250516,1
20251511multint,20250517,1
20251611multint,20250518,1
20251611multint,20250519,1
20251010multint,20250520,1
20251010multint,20250521,1
20251010multint,20250522,1
20251010multint,20250523,1
20251511multint,20250524,1
20251611multint,20250525,1
20251010multint,20250526,1
20251010multint,20250527,1
20251010multint,20250528,1
20251010multint,20250529,1
20251010multint,20250530,1
20251511multint,20250531,1
20251611multint,20250601,1
20251010multint,20250602,1
20251010multint,20250603,1
20251010multint,20250604,1
20251010multint,20250605,1
20251010multint,20250606,1
20251511multint,20250607,1
20251611multint,20250608,1
20251010multint,20250609,1
20251010multint,20250610,1
20251010multint,20250611,1
20251010multint,20250612,1
20251010multint,20250613,1
20251511multint,20250614,1
20251611multint,20250615,1
20251010multint,20250616,1
20251010multint,20250617,1
20251010multint,20250618,1
20251010multint,20250619,1
20251010multint,20250620,1
