route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-1,RTC,1,,Station Belvédère - Gare fluviale / Cap-Blanc,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=1, 013888, FFFFFF
1-107,RTC,107,,Gare du Palais - Pointe-de-Sainte-Foy,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=107, 013888, FFFFFF
1-11,RTC,11,,Gare fluviale - Pointe-de-Sainte-Foy,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=11, 013888, FFFFFF
1-11G,RTC,11G,,- C.-Laforte / McCartney,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=11g, 013888, FFFFFF
1-13,RTC,13,,Saint-Louis/Sainte-Foy Centre/du Versant-Nord - Du Versant-Nord/Sainte-Foy Centre/Saint-Louis,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=13, 013888, FFFFFF
1-133,RTC,133,,Vieux-Québec - Terminus de la Faune,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=133, 013888, FFFFFF
1-136,RTC,136,,Colline Parlementaire - Montagne-des-Roches,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=136, 013888, FFFFFF
1-13A,RTC,13A,,École secondaire De Rochebelle - De Terrebonne / de La Suète,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=13a, 013888, FFFFFF
1-13B,RTC,13B,,École secondaire De Rochebelle - Des Sapins / du Versant-Nord,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=13b, 013888, FFFFFF
1-14,RTC,14,,Pointe-de-Sainte-Foy - Cap-Rouge,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=14, 013888, FFFFFF
1-14A,RTC,14A,,Collège des Compagnons - De la Rivière / du Domaine,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=14a, 013888, FFFFFF
1-14G,RTC,14G,,Collège Jésus-Marie de Sillery - Des Carougeois / J.-C.-Cantin,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=14g, 013888, FFFFFF
1-15,RTC,15,,Pointe-de-Sainte-Foy - Cap-Rouge,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=15, 013888, FFFFFF
1-15A,RTC,15A,,Collège des Compagnons - de la Prom.-des-Soeurs / J.-C.-Cantin,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=15a, 013888, FFFFFF
1-15B,RTC,15B,,Collège des Compagnons - de la Prom-des-Soeurs / Escoffier,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=15b, 013888, FFFFFF
1-16,RTC,16,,Sillery / U. Laval / Sainte-Foy Centre - U. Laval / Sillery / Sainte-Foy Centre,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=16, 013888, FFFFFF
1-18,RTC,18,,Gare du Palais - Université Laval,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=18, 013888, FFFFFF
1-185,RTC,185,,Station Belvédère / Sainte-Foy Centre - Neufchâtel,3,https://www.rtcquebec.ca/Default.aspx?tabid=95&noParcours=185, 013888, FFFFFF
