stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1-1005,1005,Champlain/1005,Rue Champlain / boul. Champlain,46.798412,-71.218674,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1005,1
1-1006,1006,Champlain/1006,Rue Champlain / au 761,46.79908,-71.217148,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1006,1
1-1007,1007,Champlain/1007,Rue Champlain / au 699,46.799896,-71.215889,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1007,0
1-1008,1008,Champlain/1008,Rue Champlain / au 629,46.801186,-71.213852,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1008,0
1-1009,1009,Champlain/1009,Rue Champlain / au 557,46.802032,-71.212486,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1009,0
1-1010,1010,Champlain/1010,Rue Champlain / au 491,46.802124,-71.210739,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1010,0
1-1013,1013,Champlain/1013,Rue Champlain / face au 390,46.803226,-71.208267,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1013,1
1-1014,1014,Champlain/1014,Rue Champlain / au 269,46.804951,-71.206001,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1014,1
1-1015,1015,Petit-Champlain,Boul. Champlain / au 101,46.809872,-71.203209,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1015,1
1-3969,3969,102e Rue,Saint-Grégoire / 102e Rue,46.877193,-71.15596,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3969,0
1-3185,3185,10e Avenue/3185,60e Rue Est / 10e Avenue Est,46.856251,-71.245384,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3185,0
1-3720,3720,107e Rue,Sainte-Anne / 107e Rue,46.875286,-71.157028,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3720,0
