from_stop_id,to_stop_id,transfer_type,min_transfer_time
1-1213,1-1243,2,180
1-1213,1-1324,2,180
1-1213,1-1289,2,180
1-1213,1-1213,2,180
1-1243,1-1324,2,180
1-1243,1-1289,2,180
1-1243,1-1213,2,180
1-1243,1-1243,2,180
1-1289,1-1243,2,180
1-1289,1-1324,2,180
1-1289,1-1213,2,180
1-1289,1-1289,2,180
1-1324,1-1243,2,180
1-1324,1-1289,2,180
1-1324,1-1213,2,180
1-1324,1-1324,2,180
1-1887,1-3102,2,300
1-1887,1-2612,2,300
1-1887,1-2515,2,300
1-1887,1-1887,2,300
1-1887,1-5852,2,300
1-2515,1-3102,2,300
1-2515,1-2612,2,300
1-2515,1-1887,2,300
1-2515,1-2515,2,300
1-2515,1-5852,2,300
1-3102,1-2612,2,300
1-3102,1-1887,2,300
1-3102,1-2515,2,300
1-3102,1-3102,2,300
1-3102,1-5852,2,300
1-2612,1-2612,2,300
1-2612,1-1887,2,300
1-2612,1-2515,2,300
1-2612,1-3102,2,300
1-2612,1-5852,2,300
1-5852,1-2612,2,300
1-5852,1-1887,2,300
1-5852,1-2515,2,300
1-5852,1-3102,2,300
1-5852,1-5852,2,300
1-1051,1-1051,2,300
1-1051,1-1084,2,300
1-1051,1-1163,2,300
1-1051,1-1327,2,300
1-1051,1-1400,2,300
1-1051,1-1486,2,300
1-1084,1-1051,2,300
1-1084,1-1084,2,300
1-1084,1-1163,2,300
1-1084,1-1327,2,300
1-1084,1-1400,2,300
1-1084,1-1486,2,300
1-1163,1-1051,2,300
1-1163,1-1084,2,300
1-1163,1-1163,2,300
1-1163,1-1327,2,300
1-1163,1-1400,2,300
1-1163,1-1486,2,300
1-1327,1-1051,2,300
1-1327,1-1084,2,300
1-1327,1-1163,2,300
1-1327,1-1327,2,300
1-1327,1-1400,2,300
1-1327,1-1486,2,300
1-1400,1-1051,2,300
1-1400,1-1084,2,300
1-1400,1-1163,2,300
1-1400,1-1327,2,300
1-1400,1-1400,2,300
1-1400,1-1486,2,300
1-1486,1-1051,2,300
1-1486,1-1084,2,300
1-1486,1-1163,2,300
1-1486,1-1327,2,300
1-1486,1-1400,2,300
1-1486,1-1486,2,300
1-1027,1-1027,2,300
1-1027,1-1053,2,300
1-1027,1-1081,2,300
1-1027,1-1575,2,300
1-1027,1-1707,2,300
1-1027,1-1736,2,300
1-1027,1-3942,2,300
1-1053,1-1027,2,300
1-1053,1-1053,2,300
1-1053,1-1081,2,300
1-1053,1-1575,2,300
1-1053,1-1707,2,300
1-1053,1-1736,2,300
1-1053,1-3942,2,300
1-1081,1-1027,2,300
1-1081,1-1053,2,300
1-1081,1-1081,2,300
1-1081,1-1575,2,300
1-1081,1-1707,2,300
1-1081,1-1736,2,300
1-1081,1-3942,2,300
1-1575,1-1027,2,300
1-1575,1-1053,2,300
1-1575,1-1081,2,300
1-1575,1-1575,2,300
1-1575,1-1707,2,300
1-1575,1-1736,2,300
1-1575,1-3942,2,300
1-1707,1-1027,2,300
1-1707,1-1053,2,300
1-1707,1-1081,2,300
1-1707,1-1575,2,300
1-1707,1-1707,2,300
1-1707,1-1736,2,300
1-1707,1-3942,2,300
1-1736,1-1027,2,300
1-1736,1-1053,2,300
1-1736,1-1081,2,300
1-1736,1-1575,2,300
1-1736,1-1707,2,300
1-1736,1-1736,2,300
