route_id,service_id,shape_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
1-3,20250411daily,1-3-R-165,100906458_20250411daily,"41e Rue Est / Jean-Talon Ouest (Nord)",41e Rue Est,1,1000-2,0
1-3,20250411daily,1-3-A-28,100902139_20250411daily,"Grand Théâtre (Sud)",Grand Théâtre,0,1000-4,0
1-28,20250411daily,1-28-R-76,100906463_20250411daily,"51e Rue Est (Nord)",51e Rue Est,1,1000-5,0
1-28,20250411daily,1-28-A-23,100902224_20250411daily,"Colline Parlementaire (Sud)",Colline Parlementaire,0,1000-5,0
1-254,20250411daily,1-254-A-30,100907319_20250411daily,"Colline Parlementaire (Sud)",Colline Parlementaire,0,1000-8,0
1-72,20250411daily,1-72-A-9,100904762_20250411daily,"Terminus Charlesbourg (Est)",Term. Charlesbourg,0,1001-2,0
1-52,20250411daily,1-52-A-23,100907374_20250411daily,"Maizerets (Sud)",Maizerets,0,1001-3,0
1-25,20250411daily,1-25-R-67,100908961_20250411daily,"Pointe-de-Sainte-Foy (Ouest)",Pointe-de-Ste-Foy,1,1001-5,0
1-25,20250411daily,1-25-A-19,100906965_20250411daily,"Place D'Youville / Gare du Palais (Est)",Gare du Palais,0,1001-5,0
1-57,20250411daily,1-57-A-28,100907078_20250411daily,"Terminus Beauport (Sud)",Term. Beauport,0,1002-10,0
1-55,20250411daily,1-55-R-60,100907772_20250411daily,"Sainte-Thérèse-de-Lisieux (Nord)",Ste-Thérèse-de-Lisieux,1,1002-11,0
1-54,20250411daily,1-54-A-81,100907328_20250411daily,"Terminus Beauport / Vieux-Québec (Sud)",Term. Beauport,0,1002-13,1
1-803,20250411daily,1-803-R-15,100907796_20250411daily,"Terminus Les Saules (Ouest)",Term. Les Saules,1,1002-14,1
1-803,20250411daily,1-803-A-16,100908284_20250411daily,"Terminus Beauport (Est)",Term. Beauport,0,1002-14,1
1-803,20250411daily,1-803-R-15,100907822_20250411daily,"Terminus Les Saules (Ouest)",Term. Les Saules,1,1002-14,1
1-803,20250411daily,1-803-A-16,100908300_20250411daily,"Terminus Beauport (Est)",Term. Beauport,0,1002-14,1
1-54,20250411daily,1-54-R-82,100907855_20250411daily,"Sainte-Thérèse-de-Lisieux (Nord)",Ste-Thérèse-de-Lisieux,1,1002-18,1
1-803,20250411daily,1-803-R-15,100907661_20250411daily,"Terminus Les Saules (Ouest)",Term. Les Saules,1,1002-2,1
1-803,20250411daily,1-803-A-16,100908189_20250411daily,"Terminus Beauport (Est)",Term. Beauport,0,1002-2,1
1-803,20250411daily,1-803-R-15,100907680_20250411daily,"Terminus Les Saules (Ouest)",Term. Les Saules,1,1002-2,1
1-803,20250411daily,1-803-A-16,100908216_20250411daily,"Terminus Beauport (Est)",Term. Beauport,0,1002-2,1
1-803,20250411daily,1-803-R-15,100907719_20250411daily,"Terminus Les Saules (Ouest)",Term. Les Saules,1,1002-2,1
1-803,20250411daily,1-803-A-16,100908247_20250411daily,"Terminus Beauport (Est)",Term. Beauport,0,1002-2,1
1-54,20250411daily,1-54-A-81,100907337_20250411daily,"Terminus Beauport / Vieux-Québec (Sud)",Term. Beauport,0,1002-20,1
1-107,20250411daily,1-107-R-176,100904443_20250411daily,"Pointe-de-Sainte-Foy (Ouest)",Pointe-de-Ste-Foy,1,1002-22,0
1-15,20250411daily,1-15-R-15,100907035_20250411daily,"Cap-Rouge (Ouest)",Cap-Rouge,1,1002-23,0
1-14,20250411daily,1-14-A-24,100906299_20250411daily,"Pointe-de-Sainte-Foy (Est)",Pointe-de-Ste-Foy,0,1002-25,0
1-15,20250411daily,1-15-R-15,100907044_20250411daily,"Cap-Rouge (Ouest)",Cap-Rouge,1,1002-26,0
1-14,20250411daily,1-14-A-24,100906301_20250411daily,"Pointe-de-Sainte-Foy (Est)",Pointe-de-Ste-Foy,0,1002-28,0
1-15,20250411daily,1-15-R-15,100907047_20250411daily,"Cap-Rouge (Ouest)",Cap-Rouge,1,1002-29,0
1-14,20250411daily,1-14-A-24,100906303_20250411daily,"Pointe-de-Sainte-Foy (Est)",Pointe-de-Ste-Foy,0,1002-31,0
1-15,20250411daily,1-15-R-15,100907050_20250411daily,"Cap-Rouge (Ouest)",Cap-Rouge,1,1002-32,0
1-75,20250411daily,1-75-R-105,100904622_20250411daily,"Val-Bélair (Nord)",Val-Bélair,1,1002-34,0
1-36,20250411daily,1-36-R-89,100905244_20250411daily,"Station des Roses (Nord)",Station des Roses,1,1002-36,0
1-57,20250411daily,1-57-R-2,100907755_20250411daily,"Sainte-Thérèse-de-Lisieux (Nord)",Ste-Thérèse-de-Lisieux,1,1002-8,0
1-84,20250411daily,1-84-R-219,100904857_20250411daily,"Val-Bélair (Nord)",Val-Bélair,1,1003-11,1
1-70,20250411daily,1-70-A-264,100906170_20250411daily,"Sainte-Foy Centre (Sud)",Ste-Foy Centre,0,1003-13,0
1-11,20250411daily,1-11-A-447,100902359_20250411daily,"Gare fluviale (Est)",Gare fluviale,0,1003-15,1
1-11,20250411daily,1-11-R-386,100902967_20250411daily,"Pointe-de-Sainte-Foy (Ouest)",Pointe-de-Ste-Foy,1,1003-15,1
1-16,20250411daily,1-16-A-32,100904601_20250411daily,"Sillery / U. Laval / Sainte-Foy Centre (Est)",Sillery / Univ. Laval,0,1003-19,0
1-11,20250411daily,1-11-R-385,100902908_20250411daily,"Pointe-de-Sainte-Foy (Ouest)",Pointe-de-Ste-Foy,1,1003-2,1
1-11,20250411daily,1-11-A-448,100905380_20250411daily,"Gare fluviale (Est)",Gare fluviale,0,1003-2,1
1-11,20250411daily,1-11-R-385,100902919_20250411daily,"Pointe-de-Sainte-Foy (Ouest)",Pointe-de-Ste-Foy,1,1003-2,1
1-11,20250411daily,1-11-A-448,100905388_20250411daily,"Gare fluviale (Est)",Gare fluviale,0,1003-2,1
1-16,20250411daily,1-16-A-26,100904609_20250411daily,"Sillery / U. Laval / Sainte-Foy Centre (Est)",Sillery / Univ. Laval,0,1003-21,0
1-70,20250411daily,1-70-R-274,100904612_20250411daily,"Val-Bélair (Nord)",Val-Bélair,1,1003-23,0
1-72,20250411daily,1-72-A-9,100904779_20250411daily,"Terminus Charlesbourg (Est)",Term. Charlesbourg,0,1003-25,0
1-72,20250411daily,1-72-R-100,100907481_20250411daily,"Loretteville (Ouest)",Loretteville,1,1003-25,0
1-59,20250411daily,1-59-R-30,100907486_20250411daily,"Terminus Chute-Montmorency (Est)",T. C.-Montmorency,1,1003-28,0
1-59,20250411daily,1-59-A-7,100907644_20250411daily,"Terminus Charlesbourg (Ouest)",Term. Charlesbourg,0,1003-28,0
1-59,20250411daily,1-59-R-30,100907490_20250411daily,"Terminus Chute-Montmorency (Est)",T. C.-Montmorency,1,1003-28,0
1-4,20250411daily,1-4-R-64,100905257_20250411daily,"Maizerets (Nord)",Maizerets,1,1003-8,0
1-4,20250411daily,1-4-A-65,100902380_20250411daily,"Place Jacques-Cartier (Sud)",Place Jacques-Cartier,0,1003-8,0
1-39,20250411daily,1-39-R-86,100902191_20250411daily,"Terminus de la Faune (Nord)",Term. de la Faune,1,1004-11,0
1-337,20250411daily,1-337-A-72,100905936_20250411daily,"Univ.Laval/Cégep Garneau (Sud)",Cégep Garneau,0,1004-12,0
1-4,20250411daily,1-4-R-64,100905264_20250411daily,"Maizerets (Nord)",Maizerets,1,1004-14,0
1-803,20250411daily,1-803-A-16,100908184_20250411daily,"Terminus Beauport (Est)",Term. Beauport,0,1004-2,1
1-19,20250411daily,1-19-A-399,100902734_20250411daily,"Grand Théâtre (Sud)",Grand Théâtre,0,1004-4,0
1-3,20250411daily,1-3-R-164,100906464_20250411daily,"41e Rue Est / Jean-Talon Ouest (Nord)",Jean-Talon Ouest,1,1004-5,0
1-530,20250411daily,1-530-A-8,100907113_20250411daily,"Sainte-Foy Centre (Sud)",Ste-Foy Centre,0,1004-7,0
1-381,20250411daily,1-381-A-43,100906198_20250411daily,"Univ.Laval/Cégep Garneau (Sud)",Cégep Garneau,0,1004-9,0
1-64,20250411daily,1-64-A-302,100904320_20250411daily,"Place Jacques-Cartier (Sud)",Place Jacques-Cartier,0,1005-12,0
1-82,20250411daily,1-82-R-111,100905193_20250411daily,"Lac-Saint-Charles (Nord)",Lac-St-Charles,1,1005-13,0
1-82,20250411daily,1-82-A-109,100905336_20250411daily,"Place Jacques-Cartier (Sud)",Place Jacques-Cartier,0,1005-13,0
1-82,20250411daily,1-82-R-111,100905205_20250411daily,"Lac-Saint-Charles (Nord)",Lac-St-Charles,1,1005-13,0
1-1,20250411daily,1-1-A-387,100902474_20250411daily,"Gare fluviale / Cap-Blanc (Sud)",Cap-Blanc,0,1005-2,1
1-1,20250411daily,1-1-R-313,100902999_20250411daily,"Station Belvédère (Nord)",Station Belvédère,1,1005-2,1
1-80,20250411daily,1-80-R-325,100904927_20250411daily,"Aéroport international Jean-Lesage (Nord)",Aéroport,1,1005-5,0
1-80,20250411daily,1-80-A-406,100902291_20250411daily,"Place Jacques-Cartier (Sud)",Place Jacques-Cartier,0,1005-5,0
1-61,20250411daily,1-61-R-521,100908765_20250411daily,"Lebourgneuf (Ouest)",Lebourgneuf,1,1005-8,1
1-61,20250411daily,1-61-A-520,100904315_20250411daily,"Maizerets (Est)",Maizerets,0,1005-8,1
